user_id,user_name,role
U1001,A.Rao,Z_VENDOR_MASTER_MAINT
U1001,A.Rao,Z_AP_PAYMENT_PROCESSING
U1002,S.Iyer,Z_PURCHASING_AGENT
U1002,S.Iyer,Z_GOODS_RECEIPT
U1003,K.Menon,Z_PURCHASING_AGENT
U1003,K.Menon,Z_INVOICE_VERIFICATION
U1004,P.Das,Z_AP_CLERK
U1005,R.Nair,Z_GL_MAINTENANCE
U1005,R.Nair,Z_JOURNAL_ENTRY
U1006,T.Verma,Z_BASIS_ADMIN
U1007,M.Shah,Z_VENDOR_MASTER_MAINT
U1008,N.Reddy,Z_HR_PAYROLL
U1009,J.Kapoor,Z_BANK_RECON
U1009,J.Kapoor,Z_JOURNAL_ENTRY
U1010,V.Pillai,Z_GOODS_RECEIPT
U1010,V.Pillai,Z_INVOICE_VERIFICATION
